#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Temperature (°C)
Cantharellus appalachiensis,Eukaryota;Fungi;Basidiomycetes,MG38,SAMN09010644,PRJNA454572,GCA_003314335.1,Scaffold,131.127,50.4,,QLPK01,31146,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/335/GCA_003314335.1_ASM331433v1,,
Ipomoea triloba,Eukaryota;Plants;Land Plants,,SAMN08285276,PRJNA574454,GCA_003576645.1, Chromosome,461.989,36.4362,chromosome 1:NC_044916.1/CP025660.1; chromosome 2:NC_044917.1/CP025661.1; chromosome 3:NC_044918.1/CP025662.1; chromosome 4:NC_044919.1/CP025663.1; chromosome 5:NC_044920.1/CP025664.1; chromosome 6:NC_044921.1/CP025665.1; chromosome 7:NC_044922.1/CP025666.1; chromosome 8:NC_044923.1/CP025667.1; chromosome 9:NC_044924.1/CP025668.1; chromosome 10:NC_044925.1/CP025669.1; chromosome 11:NC_044926.1/CP025670.1; chromosome 12:NC_044927.1/CP025671.1; chromosome 13:NC_044928.1/CP025672.1; chromosome 14:NC_044929.1/CP025673.1; chromosome 15:NC_044930.1/CP025674.1; chromosome 16:NC_044931.1/CP025675.1; chloroplast Pltd:NC_037913.1/,,17,42046,2018-09-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/645/GCA_003576645.1_ASM357664v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/576/645/GCF_003576645.1_ASM357664v1,
Russula abietina,Eukaryota;Fungi;Basidiomycetes,MG143,SAMN09010684,PRJNA454572,GCA_003313715.1,Scaffold,53.5997,48.9,,QLOU01,13593,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/715/GCA_003313715.1_ASM331371v1,,
Eucommia ulmoides,Eukaryota;Plants;Land Plants,,SAMN13827018,PRJNA599775,GCA_016647705.1, Chromosome,947.85,35.1456,chromosome 1:CM028325.1; chromosome 2:CM028326.1; chromosome 3:CM028327.1; chromosome 4:CM028328.1; chromosome 5:CM028329.1; chromosome 6:CM028330.1; chromosome 7:CM028331.1; chromosome 8:CM028332.1; chromosome 9:CM028333.1; chromosome 10:CM028334.1; chromosome 11:CM028335.1; chromosome 12:CM028336.1; chromosome 13:CM028337.1; chromosome 14:CM028338.1; chromosome 15:CM028339.1; chromosome 16:CM028340.1; chromosome 17:CM028341.1,JAENRU01,501,0,2021-01-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/647/705/GCA_016647705.1_ASM1664770v1,,
Ornithoptera priamus,Eukaryota;Animals;Insects,HCEC75X22J,SAMN05591379,PRJNA339454,GCA_011317755.1,Scaffold,1287.88,36.1,,WYDZ01,744445,0,2020-03-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/317/755/GCA_011317755.1_ASM1131775v1,,
Zygosaccharomyces sapae,Eukaryota;Fungi;Ascomycetes,ABT301,SAMEA4665501,PRJEB26771,GCA_900465325.1,Contig,24.742,39.6,,UEGL01,52,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/465/325/GCA_900465325.1_ABT301,,
Cecidostiba fungosa,Eukaryota;Animals;Insects,,SAMEA4716323,PRJEB27189,GCA_900474305.1,Scaffold,185.537,40.2,,UCOJ01,14999,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/305/GCA_900474305.1_Cfun,,
Cecidostiba semifascia,Eukaryota;Animals;Insects,,SAMEA4716324,PRJEB27189,GCA_900474235.1,Scaffold,287.222,39.7,,UCQR01,141411,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/235/GCA_900474235.1_Csem,,
Eupelmus annulatus,Eukaryota;Animals;Insects,,SAMEA4716326,PRJEB27189,GCA_900480025.1,Scaffold,314.961,36.8,,UDEW01,48063,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/480/025/GCA_900480025.1_Eann,,
Ormyrus nitidulus,Eukaryota;Animals;Insects,,SAMEA4716333,PRJEB27189,GCA_900474335.1,Scaffold,259.886,38.8,,UCOL01,37093,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/335/GCA_900474335.1_Onit,,
Ormyrus pomaceus,Eukaryota;Animals;Insects,,SAMEA4716334,PRJEB27189,GCA_900474385.1,Scaffold,266.814,38.9,,UCOM01,72854,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/385/GCA_900474385.1_Opom,,
Synergus umbraculus,Eukaryota;Animals;Insects,,SAMEA4716335,PRJEB27189,GCA_900474325.1,Scaffold,235.334,33.2,,UCOK01,20256,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/325/GCA_900474325.1_Sumb,,
Synergus japonicus,Eukaryota;Animals;Insects,,SAMEA4716336,PRJEB27189,GCA_900474275.1,Scaffold,226.414,33,,UCOH01,12796,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/275/GCA_900474275.1_Synjap,,
Torymus geranii,Eukaryota;Animals;Insects,,SAMEA4716338,PRJEB27189,GCA_900474355.1,Scaffold,363.976,38.2,,UCWB01,141701,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/355/GCA_900474355.1_Tger,,
Violaceomyces palustris,Eukaryota;Fungi;Basidiomycetes,SA 807,SAMN02910427,PRJNA254893,GCA_003144235.1,Scaffold,27.3231,54.2,,MCHE01,1406,8058,2018-05-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/144/235/GCA_003144235.1_Ustsp1,,
Eupelmus urozonus,Eukaryota;Animals;Insects,,SAMEA4716328,PRJEB27189,GCA_900480035.1,Scaffold,376.748,35.8,,UELX01,240114,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/480/035/GCA_900480035.1_Euro,,
Megastigmus dorsalis,Eukaryota;Animals;Insects,,SAMEA4716329,PRJEB27189,GCA_900490025.1,Scaffold,589.959,37.2,,UELU01,148702,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/490/025/GCA_900490025.1_Mdor,,
Megastigmus stigmatizans,Eukaryota;Animals;Insects,,SAMEA4716330,PRJEB27189,GCA_900490015.1,Scaffold,577.888,37.3,,UELV01,182990,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/490/015/GCA_900490015.1_Msti,,
Danionella dracula,Eukaryota;Animals;Fishes,,SAMEA104026433,PRJEB27320,GCA_900490495.1,Scaffold,665.208,37.5,,UELW01,996,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/490/495/GCA_900490495.1_fDanDra1.1,,
Calamus simplicifolius,Eukaryota;Plants;Land Plants,Ecotype,SAMEA104450374,PRJEB24031,GCA_900491605.1,Scaffold,1960.81,39.6,,UESW01,5116,0,2018-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/491/605/GCA_900491605.1_Calamus_simplicifolius,,
Malbranchea cinnamomea,Eukaryota;Fungi;Ascomycetes,,SAMEA4551748,PRJEB16328,GCA_900128795.2,Scaffold,25.0526,49.8,,FQSS02,817,0,2017-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/795/GCA_900128795.2_FCH_10_5,,45
Sarcodon sp. MG97,Eukaryota;Fungi;Basidiomycetes,MG97,SAMN09010691,PRJNA454572,GCA_003313065.1,Scaffold,32.1622,43.5,,QGOD01,3288,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/065/GCA_003313065.1_ASM331306v1,,
Termitomyces sp. MG145,Eukaryota;Fungi;Basidiomycetes,MG145,SAMN09010700,PRJNA454572,GCA_003313055.1,Scaffold,62.228,47.6,,QGOB01,4681,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/055/GCA_003313055.1_ASM331305v1,,
Hygrophorus russula,Eukaryota;Fungi;Basidiomycetes,MG78,SAMN09010655,PRJNA454572,GCA_003314125.1,Scaffold,27.6607,46.7,,QLPE01,4788,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/125/GCA_003314125.1_ASM331412v1,,
Pleurotus tuber-regium,Eukaryota;Fungi;Basidiomycetes,ACCC 50657-18,SAMN15447141,PRJNA644065,GCA_014058305.1,Contig,35.8221,47.5,,JACFYU01,65,0,2020-08-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/058/305/GCA_014058305.1_ASM1405830v1,,
Butyriboletus roseoflavus,Eukaryota;Fungi;Basidiomycetes,LA02,SAMN18241835,PRJNA713307,GCA_019364595.1,Contig,33.977,49,,JAHRGV01,67,9014,2021-07-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/364/595/GCA_019364595.1_ASM1936459v1,,
Coprinus comatus,Eukaryota;Fungi;Basidiomycetes,MG80,SAMN09010649,PRJNA454572,GCA_003316025.1,Scaffold,30.6255,42.1,,QFED01,4507,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/025/GCA_003316025.1_ASM331602v1,,25
Boletus speciosus,Eukaryota;Fungi;Basidiomycetes,MG10,SAMN09010641,PRJNA454572,GCA_003316055.1,Scaffold,29.9055,48.9,,QFEG01,4318,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/055/GCA_003316055.1_ASM331605v1,,
Caloboletus calopus,Eukaryota;Fungi;Basidiomycetes,MG23,SAMN09010635,PRJNA454572,GCA_003316085.1,Scaffold,32.4325,48.1,,QFEK01,4316,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/085/GCA_003316085.1_ASM331608v1,,
Auricularia polytricha,Eukaryota;Fungi;Basidiomycetes,MG66,SAMN09010632,PRJNA454572,GCA_003316125.1,Scaffold,38.6887,46.7,,QFEN01,4689,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/125/GCA_003316125.1_ASM331612v1,,25
Xerocomus impolitus,Eukaryota;Fungi;Basidiomycetes,MG39,SAMN09010716,PRJNA454572,GCA_003316335.1,Scaffold,41.6188,47.5,,QFEQ01,3109,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/335/GCA_003316335.1_ASM331633v1,,
Pristionchus arcanus,Eukaryota;Animals;Roundworms,,SAMEA4733527,PRJEB27334,GCA_900490705.1,Scaffold,202.757,42.4,,UEMY01,4263,0,2018-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/490/705/GCA_900490705.1_P._arcanus_genome,,
Pristionchus maxplancki,Eukaryota;Animals;Roundworms,,SAMEA4733566,PRJEB27334,GCA_900490775.1,Scaffold,265.593,44.3,,UENM01,69506,0,2018-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/490/775/GCA_900490775.1_Prisstionchus_maxplancki_genome,,
Pristionchus entomophagus,Eukaryota;Animals;Roundworms,,SAMEA4733598,PRJEB27334,GCA_900490825.1,Scaffold,264.162,42.9,,UENO01,72721,0,2018-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/490/825/GCA_900490825.1_P._entomophagus_genome,,
Parapristionchus giblindavisi,Eukaryota;Animals;Roundworms,,SAMEA4734351,PRJEB27334,GCA_900491355.1,Scaffold,200.834,39,,UENQ01,7303,0,2018-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/491/355/GCA_900491355.1_Parapristionchus_genome,,
Pyrrhoderma noxium,Eukaryota;Fungi;Basidiomycetes,FFPRI411160,SAMN06480491,PRJNA377805,GCA_002287475.2, Chromosome,31.608,41.5895,chromosome 1:CM008251.1; chromosome 2:CM008252.1; chromosome 3:CM008253.1; chromosome 4:CM008254.1; chromosome 5:CM008255.1; chromosome 6:CM008256.1; chromosome 7:CM008257.1; chromosome 8:CM008258.1; chromosome 9:CM008259.1; chromosome 10:CM008260.1; chromosome 11:CM008261.1; chromosome 12:CM008262.1; mitochondrion MT:CM008263.2,NBII01,13,19860,2017-09-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/475/GCA_002287475.2_ASM228747v2,,
Aspergillus unguis,Eukaryota;Fungi;Ascomycetes,F6_8S_P_4A,SAMN18883804,PRJNA723004,GCA_018408605.1,Scaffold,25.8925,50.3,,JAGUQC01,19,0,2021-05-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/408/605/GCA_018408605.1_ASM1840860v1,,24
Termitomyces sp. MG16,Eukaryota;Fungi;Basidiomycetes,MG16,SAMN09010702,PRJNA454572,GCA_003313075.1,Scaffold,98.8054,46.1,,QGOA01,30450,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/075/GCA_003313075.1_ASM331307v1,,
Boletus sp. MG95,Eukaryota;Fungi;Basidiomycetes,MG95,SAMN09010640,PRJNA454572,GCA_003313155.1,Scaffold,38.8703,49.8,,QGOH01,11916,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/155/GCA_003313155.1_ASM331315v1,,
Collybia sp. MG36,Eukaryota;Fungi;Basidiomycetes,MG36,SAMN09010648,PRJNA454572,GCA_003313185.1,Scaffold,46.0641,50.6,,QGOG01,16613,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/185/GCA_003313185.1_ASM331318v1,,
Tricholoma saponaceum,Eukaryota;Fungi;Basidiomycetes,MG146,SAMN09010707,PRJNA454572,GCA_003313625.1,Scaffold,55.7089,46.7,,QLOJ01,14500,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/625/GCA_003313625.1_ASM331362v1,,
Tuber umbilicatum,Eukaryota;Fungi;Ascomycetes,MG104,SAMN09010713,PRJNA454572,GCA_003313605.1,Scaffold,84.6117,47.5,,QLOI01,10807,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/605/GCA_003313605.1_ASM331360v1,,
Hymenopellis radicata,Eukaryota;Fungi;Basidiomycetes,IJFM A160,SAMN05446217,PRJNA334360,GCA_015501595.1,Contig,78.5867,50.8,,JADNRX01,1967,27479,2020-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/501/595/GCA_015501595.1_Hymrad1,,
Megacollybia marginata,Eukaryota;Fungi;Basidiomycetes,MG68,SAMN09010671,PRJNA454572,GCA_003313965.1,Scaffold,99.3298,45.4,,QLOY01,20853,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/965/GCA_003313965.1_ASM331396v1,,
Lactarius indigo,Eukaryota;Fungi;Basidiomycetes,MG109,SAMN09010661,PRJNA454572,GCA_003313985.1,Scaffold,76.4669,51.9,,QLPB01,19204,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/985/GCA_003313985.1_ASM331398v1,,
Hymenopellis chiangmaiae,Eukaryota;Fungi;Basidiomycetes,MG56,SAMN09010656,PRJNA454572,GCA_003314085.1,Scaffold,80.3741,50,,QLPD01,11311,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/085/GCA_003314085.1_ASM331408v1,,
Hygrophorus pudorinus,Eukaryota;Fungi;Basidiomycetes,MG65,SAMN09010654,PRJNA454572,GCA_003314045.1,Scaffold,77.122,46.4,,QLPF01,22535,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/045/GCA_003314045.1_ASM331404v1,,
Lactarius sp. MG50,Eukaryota;Fungi;Basidiomycetes,MG50,SAMN09010666,PRJNA454572,GCA_003314065.1,Scaffold,65.8949,51.1,,QLOZ01,15677,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/065/GCA_003314065.1_ASM331406v1,,
Stropharia rugosoannulata,Eukaryota;Fungi;Basidiomycetes,MG69,SAMN09010693,PRJNA454572,GCA_003314255.1,Scaffold,50.4139,47.8,,QLPO01,17452,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/255/GCA_003314255.1_ASM331425v1,,24
Cantharellus cinnabarinus,Eukaryota;Fungi;Basidiomycetes,MG28,SAMN09010646,PRJNA454572,GCA_003314235.1,Scaffold,62.3635,47,,QLPJ01,19294,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/235/GCA_003314235.1_ASM331423v1,,
Ramaria sp. MG151,Eukaryota;Fungi;Basidiomycetes,MG151,SAMN09010683,PRJNA454572,GCA_003314545.1,Scaffold,83.794,44.1,,QMFG01,19613,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/545/GCA_003314545.1_ASM331454v1,,
Albatrellus ellisii,Eukaryota;Fungi;Basidiomycetes,MG60,SAMN09010628,PRJNA454572,GCA_003314395.1,Scaffold,122.762,44.4,,QLPN01,30562,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/395/GCA_003314395.1_ASM331439v1,,
Pholiota microspora,Eukaryota;Fungi;Basidiomycetes,MG134,SAMN09010676,PRJNA454572,GCA_003314615.1,Scaffold,35.0879,47.5,,QFFD01,7558,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/615/GCA_003314615.1_ASM331461v1,,
Chroogomphus rutilus,Eukaryota;Fungi;Basidiomycetes,MG62,SAMN09010647,PRJNA454572,GCA_003314275.1,Scaffold,205.403,45.7,,QLPI01,64251,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/275/GCA_003314275.1_ASM331427v1,,
Gomphus sp. MG54,Eukaryota;Fungi;Basidiomycetes,MG54,SAMN09010652,PRJNA454572,GCA_003314385.1,Scaffold,204.967,45.5,,QLPG01,64090,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/385/GCA_003314385.1_ASM331438v1,,
Morchella eximia,Eukaryota;Fungi;Ascomycetes,MG90,SAMN09010672,PRJNA454572,GCA_003314645.1,Scaffold,73.461,46,,QMFK01,7793,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/645/GCA_003314645.1_ASM331464v1,,25
Lactarius volemus,Eukaryota;Fungi;Basidiomycetes,MG8,SAMN09010668,PRJNA454572,GCA_003315835.1,Scaffold,44.1239,0,,QFDU01,5310,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/835/GCA_003315835.1_ASM331583v1,,
Lactarius trivialis,Eukaryota;Fungi;Basidiomycetes,MG71,SAMN09010667,PRJNA454572,GCA_003315845.1,Scaffold,36.119,0,,QFDV01,5386,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/845/GCA_003315845.1_ASM331584v1,,
Albatrellus sp. MG142,Eukaryota;Fungi;Basidiomycetes,MG142,SAMN09010629,PRJNA454572,GCA_003314695.1,Scaffold,59.3852,48.1,,QLPM01,50332,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/695/GCA_003314695.1_ASM331469v1,,
Lactarius piperatus,Eukaryota;Fungi;Basidiomycetes,MG49,SAMN09010664,PRJNA454572,GCA_003315875.1,Scaffold,50.7687,0,,QFDX01,9329,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/875/GCA_003315875.1_ASM331587v1,,
Lactifluus rugatus,Eukaryota;Fungi;Basidiomycetes,MG108,SAMN09010665,PRJNA454572,GCA_003315895.1,Scaffold,39.2106,0,,QFDW01,18065,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/895/GCA_003315895.1_ASM331589v1,,
Tricholoma sp. MG77,Eukaryota;Fungi;Basidiomycetes,MG77,SAMN09010708,PRJNA454572,GCA_003314665.1,Scaffold,118.334,45.5,,QMFE01,53256,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/665/GCA_003314665.1_ASM331466v1,,
Macrolepiota dolichaula,Eukaryota;Fungi;Basidiomycetes,MG24,SAMN09010670,PRJNA454572,GCA_003315915.1,Scaffold,54.7826,0,,QFDT01,10856,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/915/GCA_003315915.1_ASM331591v1,,
Lactarius echinatus,Eukaryota;Fungi;Basidiomycetes,MG122,SAMN09010658,PRJNA454572,GCA_003315975.1,Scaffold,48.0787,0,,QFEA01,11605,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/975/GCA_003315975.1_ASM331597v1,,
Lactarius hatsudake,Eukaryota;Fungi;Basidiomycetes,MG20,SAMN09010659,PRJNA454572,GCA_003315955.1,Scaffold,73.8019,0,,QFDZ01,36963,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/955/GCA_003315955.1_ASM331595v1,,
Retiboletus ornatipes,Eukaryota;Fungi;Basidiomycetes,MG30,SAMN09010638,PRJNA454572,GCA_003316065.1,Scaffold,29.7646,0,,QFEH01,5242,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/065/GCA_003316065.1_ASM331606v1,,
Lactarius sp. MG121,Eukaryota;Fungi;Basidiomycetes,MG121,SAMN09010662,PRJNA454572,GCA_003315925.1,Scaffold,63.818,0,,QFDY01,15843,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/925/GCA_003315925.1_ASM331592v1,,
Suillus placidus,Eukaryota;Fungi;Basidiomycetes,DOB743,SAMN10866389,PRJNA520344,GCA_016628565.1,Contig,55.3236,48.1,,JABBWD01,753,15123,2021-01-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/628/565/GCA_016628565.1_Suipla1,,20
Termitomyces heimii,Eukaryota;Fungi;Basidiomycetes,MG15,SAMN09010699,PRJNA454572,GCA_003313675.1,Scaffold,56.8724,43.4,,QLON01,7819,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/675/GCA_003313675.1_ASM331367v1,,
Tricholoma bakamatsutake,Eukaryota;Fungi;Basidiomycetes,MG51,SAMN09010704,PRJNA454572,GCA_003313665.1,Scaffold,140.676,43.2,,QLOL01,51308,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/665/GCA_003313665.1_ASM331366v1,,
Russula sp. MG48,Eukaryota;Fungi;Basidiomycetes,MG48,SAMN09010688,PRJNA454572,GCA_003313725.1,Scaffold,64.7974,52,,QLOS01,14241,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/725/GCA_003313725.1_ASM331372v1,,
Termitomyces sp. MG148,Eukaryota;Fungi;Basidiomycetes,MG148,SAMN09010701,PRJNA454572,GCA_003313785.1,Scaffold,88.6439,47.4,,QLOM01,22422,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/785/GCA_003313785.1_ASM331378v1,,
Sarcodon aspratus,Eukaryota;Fungi;Basidiomycetes,MG57,SAMN09010690,PRJNA454572,GCA_003313825.1,Scaffold,35.7036,46.3,,QLOR01,5323,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/825/GCA_003313825.1_ASM331382v1,,
Suillus sp. MG131,Eukaryota;Fungi;Basidiomycetes,MG131,SAMN09010697,PRJNA454572,GCA_003313855.1,Scaffold,40.9353,47.4,,QLOO01,9715,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/855/GCA_003313855.1_ASM331385v1,,
Boletus sp. MG55,Eukaryota;Fungi;Basidiomycetes,MG55,SAMN09010639,PRJNA454572,GCA_003313885.1,Scaffold,54.8447,50.2,,QGOI01,18889,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/885/GCA_003313885.1_ASM331388v1,,
Lactifluus pinguis,Eukaryota;Fungi;Basidiomycetes,MG27,SAMN09010663,PRJNA454572,GCA_003313945.1,Scaffold,49.2622,50,,QLPA01,7979,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/945/GCA_003313945.1_ASM331394v1,,
Tricholoma flavovirens,Eukaryota;Fungi;Basidiomycetes,MG32,SAMN09010705,PRJNA454572,GCA_003313805.1,Scaffold,119.315,44.3,,QLOK01,49305,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/805/GCA_003313805.1_ASM331380v1,,
Russula aff. compacta,Eukaryota;Fungi;Basidiomycetes,MG44,SAMN09010685,PRJNA454572,GCA_003313875.1,Scaffold,75.5805,50.5,,QLOT01,25489,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/875/GCA_003313875.1_ASM331387v1,,
Penstemon barbatus,Eukaryota;Plants;Land Plants,"\Duke\"" line""",SAMN09598766,PRJNA479669,GCA_003313485.1,Contig,696.306,0,,QOIQ01,18827,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/485/GCA_003313485.1_Duke_Pbarb_2016,,
Lactifluus hygrophoroides,Eukaryota;Fungi;Basidiomycetes,MG19,SAMN09010660,PRJNA454572,GCA_003314055.1,Scaffold,55.4634,49.9,,QLPC01,15093,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/055/GCA_003314055.1_ASM331405v1,,
Lactarius deliciosus,Eukaryota;Fungi;Basidiomycetes,CBS 582.63,SAMN12101417,PRJNA550006,GCA_006680135.1,Contig,54.791,52,,VHKJ01,841,0,2019-07-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/680/135/GCA_006680135.1_ASM668013v1,,
